,Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Energy Consumption
100,Commercial,16905,88,26,17.36,Weekend,4158.47
101,Commercial,10647,46,41,13.13,Weekday,3796.71
102,Commercial,4970,21,17,29.93,Weekend,2648.85
103,Residential,2692,83,13,23.67,Weekday,2656.26
104,Industrial,981,3,12,28.85,Weekday,2724.82
105,Industrial,6683,39,41,15.77,Weekday,4015.3
106,Commercial,6776,84,29,17.2,Weekday,3722.8
107,Residential,32153,75,24,33.11,Weekend,4172.08
108,Commercial,19287,77,34,33.56,Weekend,4246.55
109,Residential,1399,32,15,26.19,Weekday,2109.01
110,Residential,18949,64,42,23.14,Weekend,3811.73
111,Residential,22254,10,17,24.49,Weekday,2980.23
112,Residential,33421,41,1,26.97,Weekday,3516.18
113,Residential,25262,66,1,29.74,Weekday,3344.42
114,Residential,40325,86,31,18.88,Weekend,4901.86
115,Commercial,36897,30,32,20.36,Weekend,4683.04
116,Industrial,46417,82,20,23.44,Weekday,5973.63
117,Industrial,22515,60,30,13.61,Weekend,4757.71
118,Commercial,17459,3,37,27.75,Weekday,3554.19
119,Residential,39714,82,41,16.32,Weekday,5094.1
120,Industrial,43501,83,31,26.67,Weekday,6041.7
121,Residential,7787,73,35,19.29,Weekday,3272.91
122,Commercial,16958,2,49,30.66,Weekday,3744.59
123,Industrial,40211,75,21,28.17,Weekday,5589.71
124,Industrial,6484,19,36,22.89,Weekend,3619.74
125,Residential,41496,73,2,14.29,Weekend,4273.37
126,Commercial,20672,46,10,18.4,Weekday,3651.6
127,Residential,9101,15,4,12.87,Weekday,2170.7
128,Commercial,17827,35,4,24.93,Weekday,3246.71
129,Commercial,12061,40,4,14.57,Weekend,3010.22
130,Commercial,11862,5,36,33.46,Weekend,3195.8
131,Commercial,24863,50,40,25.81,Weekend,4414.12
132,Commercial,9019,60,48,31.53,Weekday,3903.29
133,Commercial,6224,15,39,28.75,Weekend,3097.45
134,Commercial,44013,15,49,10.43,Weekend,5278.51
135,Residential,30515,93,3,32.87,Weekday,3901.38
136,Residential,49646,12,12,18.68,Weekday,4298.92
137,Residential,48903,70,22,23.91,Weekday,5015.61
138,Commercial,9517,82,46,13.2,Weekend,4149.86
139,Commercial,29878,16,41,31.63,Weekend,4315.75
140,Residential,18771,66,4,14.36,Weekend,3106.77
141,Residential,34072,12,13,29.68,Weekend,3435.18
142,Industrial,9095,5,34,29.59,Weekend,3536.81
143,Industrial,26792,86,10,15.01,Weekday,4874.53
144,Commercial,45580,68,4,33.33,Weekday,4922.36
145,Residential,14525,58,24,27.49,Weekend,3148.79
146,Industrial,26529,54,47,32.58,Weekend,5143.54
147,Residential,19563,65,27,22.5,Weekend,3555.64
148,Industrial,13525,21,25,32.25,Weekday,3775.01
149,Residential,18086,21,8,17.75,Weekend,2685.54
150,Industrial,31407,2,39,23.03,Weekday,4805.22
151,Industrial,36454,72,40,10.71,Weekend,5789.16
152,Commercial,35207,16,44,32.34,Weekday,4688.65
153,Commercial,20395,42,27,15.63,Weekday,3951.62
154,Residential,48382,95,1,31.98,Weekday,4779.18
155,Commercial,12200,95,8,29.74,Weekday,3621.32
156,Industrial,41131,12,14,13.25,Weekend,4890.31
157,Industrial,21177,69,7,32.54,Weekday,4276.15
158,Residential,11182,13,45,12.11,Weekend,3028.56
159,Residential,3208,68,29,14.07,Weekend,2850.05
160,Residential,2853,81,37,23.68,Weekend,3074.25
161,Industrial,9496,85,21,28.01,Weekend,4104.73
162,Commercial,14653,47,4,13.55,Weekend,3214.88
163,Industrial,40829,52,4,32.3,Weekend,4979.96
164,Industrial,34508,98,24,10.55,Weekday,5682.63
165,Commercial,32396,23,43,28.56,Weekday,4616.98
166,Industrial,40185,73,23,34.62,Weekday,5576.14
167,Industrial,37765,92,35,25.8,Weekend,5879.25
168,Commercial,24321,78,17,34.79,Weekday,4212.08
169,Industrial,30366,21,28,28.96,Weekend,4643.49
170,Residential,7991,13,18,21.04,Weekend,2284.33
171,Residential,29041,10,10,21.71,Weekday,3193.51
172,Industrial,21170,89,8,27.28,Weekday,4522.1
173,Industrial,32098,4,13,27.18,Weekend,4269.02
174,Commercial,23911,93,48,31.37,Weekday,4978.71
175,Residential,17529,43,44,19.34,Weekday,3639.76
176,Industrial,8507,36,28,19.36,Weekday,3798.54
177,Commercial,36159,79,30,34.31,Weekday,5076.4
178,Commercial,9002,99,41,19.66,Weekday,4211.82
179,Residential,40415,8,48,12.44,Weekday,4548.56
180,Commercial,13761,3,28,31.36,Weekday,3171.27
181,Residential,14007,91,34,17.79,Weekend,3701.39
182,Commercial,1468,21,10,33.58,Weekday,2365.5
183,Industrial,13308,16,41,27.82,Weekday,4056.28
184,Industrial,46148,30,39,33.84,Weekend,5718.21
185,Industrial,30469,55,26,28.11,Weekday,5002.91
186,Industrial,9442,25,31,15.3,Weekday,3815.61
187,Commercial,28571,25,21,26.8,Weekend,3964.54
188,Commercial,26672,8,1,19.76,Weekday,3384.78
189,Commercial,25291,83,17,17.14,Weekend,4348.86
190,Industrial,22616,31,47,17.91,Weekday,4841.23
191,Industrial,33726,70,34,10.13,Weekday,5565.67
192,Residential,2896,51,27,11.96,Weekday,2684.98
193,Industrial,27876,52,26,10.39,Weekend,4881.83
194,Industrial,43374,64,15,11.73,Weekday,5600.03
195,Residential,32487,95,49,16.69,Weekday,5020.9
196,Commercial,44085,10,30,10.68,Weekday,4900.84
197,Commercial,13721,8,10,20.28,Weekend,2864.63
198,Industrial,36559,73,28,14.86,Weekend,5543.64
199,Industrial,21453,58,6,19.1,Weekday,4227.17
200,Residential,49810,65,33,24.63,Weekday,5227.37
201,Industrial,27245,90,44,33.51,Weekend,5474.72
202,Industrial,7283,88,44,19.54,Weekday,4576.47
203,Industrial,47827,44,23,30.84,Weekend,5637.13
204,Industrial,16922,57,19,20.07,Weekend,4195.75
205,Residential,29206,41,31,24.01,Weekday,3920.23
206,Commercial,6616,1,21,17.83,Weekday,2721.67
207,Residential,22010,83,21,21.77,Weekend,3741.64
208,Commercial,3593,88,41,22.27,Weekend,3768.3
209,Industrial,15874,89,14,28.98,Weekend,4318.82
210,Residential,10416,33,14,23.74,Weekend,2512.1
211,Commercial,9205,93,49,16.33,Weekend,4288.58
212,Industrial,29902,15,34,16.79,Weekend,4741.16
213,Commercial,7714,51,7,13.32,Weekday,3019.12
214,Industrial,24854,60,27,34.51,Weekend,4710.15
215,Industrial,29269,35,19,18.63,Weekend,4600.3
216,Industrial,45055,82,22,17.47,Weekend,5925.39
217,Residential,17843,15,1,33.38,Weekday,2445.25
218,Residential,15817,85,47,25.14,Weekend,3955.17
219,Residential,34768,63,47,33.23,Weekday,4692.24
220,Residential,8625,70,46,22.83,Weekend,3437.1
221,Residential,5609,81,2,33.21,Weekday,2514.4
222,Commercial,35942,87,11,30.09,Weekend,4736.66
223,Industrial,45047,13,45,16.46,Weekday,5750.07
224,Industrial,20316,42,24,16.95,Weekend,4331.04
225,Commercial,34497,34,35,18.11,Weekend,4674.31
226,Residential,15858,30,2,29.99,Weekend,2482.94
227,Residential,4262,4,38,31.41,Weekday,2406.04
228,Industrial,9146,42,44,30.72,Weekend,4103.69
229,Industrial,16077,58,19,16.61,Weekday,4230.79
230,Industrial,24660,32,5,23.67,Weekend,4034.64
231,Commercial,48338,2,18,20.62,Weekend,4693.8
232,Commercial,24577,86,24,24.53,Weekend,4446.22
233,Residential,11803,32,1,27.57,Weekday,2342.32
234,Commercial,16146,22,30,25.81,Weekend,3498.27
235,Industrial,11671,63,8,34.74,Weekend,3699.87
236,Residential,17775,90,1,21.06,Weekday,3253.47
237,Commercial,23411,98,23,20.5,Weekday,4558.07
238,Industrial,43380,31,33,34.69,Weekend,5465.54
239,Residential,27088,43,34,20.96,Weekend,3859.59
240,Commercial,34433,58,48,29.34,Weekday,5164.94
241,Commercial,12798,80,4,11.3,Weekday,3513.41
242,Residential,15843,36,37,22.53,Weekend,3279.51
243,Commercial,9946,35,40,16.32,Weekend,3565.7
244,Residential,22542,58,47,32.58,Weekend,3984.2
245,Residential,15096,16,11,10.88,Weekend,2580.42
246,Commercial,40911,97,46,28.14,Weekend,5794.83
247,Commercial,44981,81,20,27.82,Weekday,5369.95
248,Residential,33897,55,30,32.48,Weekday,4232.44
249,Commercial,35935,55,37,23.7,Weekday,5018.25
250,Industrial,1314,51,46,29.12,Weekend,3850.11
251,Residential,8283,34,30,19.68,Weekend,2755.75
252,Residential,2613,11,2,29.34,Weekday,1683.95
253,Commercial,10957,86,49,22.06,Weekend,4277.54
254,Industrial,35301,28,45,15.43,Weekend,5367.9
255,Residential,23765,12,3,33.13,Weekday,2752.62
256,Industrial,32085,38,31,16.0,Weekday,5074.24
257,Industrial,4238,22,20,25.08,Weekday,3256.52
258,Commercial,49090,70,17,20.78,Weekend,5390.61
259,Industrial,7237,62,34,19.48,Weekday,4114.45
260,Industrial,16376,7,7,27.65,Weekend,3390.53
261,Industrial,45920,54,34,34.66,Weekend,5842.72
262,Residential,34242,32,16,20.35,Weekend,3750.37
263,Residential,7065,4,14,30.62,Weekend,2020.15
264,Residential,47328,12,3,32.59,Weekend,3883.46
265,Residential,3880,45,3,24.75,Weekday,2130.26
266,Industrial,3868,75,24,33.81,Weekday,3804.34
267,Industrial,626,2,33,23.52,Weekend,3093.71
268,Residential,23551,93,37,26.83,Weekday,4263.39
269,Commercial,605,16,36,16.95,Weekday,2875.48
270,Industrial,12164,82,41,23.04,Weekday,4683.0
271,Industrial,35698,91,29,32.83,Weekday,5660.75
272,Residential,43694,45,46,20.91,Weekend,4950.15
273,Commercial,21109,15,33,13.98,Weekday,3845.57
274,Industrial,35867,76,12,10.29,Weekend,5241.91
275,Industrial,10861,14,36,18.67,Weekend,3809.69
276,Industrial,18271,23,28,23.38,Weekday,4136.67
277,Industrial,18174,68,14,21.53,Weekend,4261.05
278,Industrial,47557,98,30,24.87,Weekday,6383.5
279,Residential,26010,7,36,31.06,Weekend,3435.21
280,Industrial,5799,37,23,34.76,Weekend,3446.15
281,Commercial,26111,26,49,15.85,Weekday,4516.31
282,Residential,22276,71,22,11.22,Weekday,3757.72
283,Residential,49374,13,28,29.4,Weekday,4561.71
284,Industrial,37930,36,19,25.7,Weekend,5008.0
285,Commercial,8573,86,19,27.88,Weekend,3529.25
286,Industrial,1507,58,17,17.56,Weekend,3407.54
287,Industrial,23736,47,12,17.29,Weekday,4360.36
288,Commercial,11316,60,47,29.42,Weekend,3958.7
289,Industrial,24252,36,45,22.91,Weekday,4908.05
290,Commercial,7424,25,47,14.83,Weekday,3537.04
291,Industrial,19074,82,39,17.25,Weekday,5017.45
292,Industrial,11116,64,17,30.65,Weekday,3932.56
293,Industrial,41306,46,41,19.34,Weekday,5798.61
294,Industrial,2242,9,37,11.08,Weekend,3386.72
295,Commercial,34520,96,27,29.12,Weekend,5080.4
296,Residential,2943,13,29,17.8,Weekday,2318.15
297,Residential,45123,5,47,13.18,Weekday,4730.23
298,Industrial,34657,21,47,20.15,Weekday,5332.1
299,Residential,42255,78,47,27.14,Weekday,5247.04
300,Commercial,12701,64,45,13.45,Weekday,4157.81
301,Industrial,46507,41,30,22.6,Weekday,5772.35
302,Industrial,6650,87,33,19.31,Weekend,4265.97
303,Commercial,29421,16,21,34.73,Weekday,3927.4
304,Residential,47563,41,8,18.18,Weekend,4357.27
305,Commercial,33782,71,40,29.61,Weekend,5051.07
306,Residential,42474,62,45,18.51,Weekday,5101.13
307,Industrial,27416,25,37,15.11,Weekend,4785.27
308,Industrial,22091,44,30,11.25,Weekend,4588.3
309,Industrial,27920,28,1,20.84,Weekday,4141.78
310,Commercial,2969,92,32,25.47,Weekday,3631.08
311,Commercial,43506,12,34,11.1,Weekday,4969.79
312,Industrial,23361,26,26,29.05,Weekend,4302.81
313,Commercial,28452,10,43,26.04,Weekend,4252.4
314,Industrial,47914,47,12,33.71,Weekend,5437.17
315,Residential,1226,58,3,22.79,Weekday,2137.35
316,Industrial,9166,15,3,11.8,Weekend,3109.29
317,Commercial,9283,41,40,12.19,Weekday,3663.21
318,Industrial,7140,65,11,13.97,Weekday,3707.17
319,Commercial,36721,66,46,15.58,Weekend,5338.17
320,Commercial,22092,4,1,12.19,Weekend,3103.65
321,Commercial,22026,70,12,21.58,Weekend,3933.39
322,Commercial,17161,46,27,17.59,Weekday,3820.1
323,Industrial,16741,19,27,23.89,Weekend,3947.61
324,Commercial,24150,46,21,28.41,Weekend,3945.47
325,Industrial,35388,13,49,15.09,Weekday,5353.94
326,Commercial,6599,27,28,12.39,Weekend,3097.98
327,Commercial,36322,8,25,27.52,Weekend,4258.49
328,Industrial,7319,21,37,31.57,Weekday,3708.08
329,Industrial,38501,84,3,32.04,Weekday,5214.85
330,Residential,41589,50,34,33.2,Weekday,4643.44
331,Commercial,45850,49,44,24.36,Weekday,5590.7
332,Residential,23390,50,23,23.8,Weekend,3510.52
333,Commercial,18273,37,38,33.06,Weekday,3928.35
334,Residential,26885,94,23,16.63,Weekend,4161.08
335,Industrial,33839,64,11,27.67,Weekday,4963.62
336,Industrial,42373,18,38,27.13,Weekend,5422.98
337,Industrial,47682,20,37,26.45,Weekend,5691.84
338,Industrial,48820,51,35,30.75,Weekday,6047.23
339,Industrial,32732,60,19,31.74,Weekday,5007.9
340,Residential,49969,32,14,26.06,Weekend,4468.13
341,Residential,37009,79,18,20.41,Weekday,4448.42
342,Residential,33056,3,11,32.92,Weekend,3238.18
343,Commercial,3483,79,5,10.37,Weekend,3012.32
344,Commercial,13357,83,31,10.63,Weekday,4114.7
345,Commercial,25326,33,41,21.22,Weekend,4310.2
346,Commercial,47178,27,16,24.14,Weekend,4828.19
347,Commercial,31695,99,35,28.5,Weekend,5132.23
348,Industrial,32321,58,45,32.79,Weekend,5432.11
349,Commercial,4994,79,38,29.59,Weekday,3701.73
350,Industrial,32390,37,7,25.09,Weekend,4504.03
351,Industrial,31178,68,8,32.25,Weekday,4787.64
352,Residential,39563,16,38,28.7,Weekday,4304.63
353,Commercial,11041,68,41,20.88,Weekend,3947.63
354,Residential,22859,24,22,32.87,Weekday,3208.61
355,Residential,41309,55,45,15.4,Weekday,4988.44
356,Residential,18655,13,11,23.22,Weekday,2716.66
357,Residential,9212,77,37,25.66,Weekday,3392.31
358,Residential,21195,18,21,16.16,Weekend,3078.96
359,Industrial,35332,23,29,25.76,Weekday,4997.78
360,Residential,38641,9,3,19.52,Weekend,3484.46
361,Commercial,25074,41,18,26.37,Weekend,3891.86
362,Commercial,9077,26,12,18.34,Weekend,2862.17
363,Residential,12222,80,35,20.16,Weekend,3510.28
364,Industrial,15849,37,15,18.92,Weekend,3867.85
365,Residential,19629,21,39,12.37,Weekday,3459.59
366,Industrial,48424,49,28,11.94,Weekday,5961.49
367,Industrial,12682,62,32,34.54,Weekday,4271.39
368,Residential,26431,91,14,25.79,Weekday,3932.59
369,Industrial,6126,49,13,18.44,Weekday,3514.09
370,Commercial,27411,41,13,13.43,Weekday,4023.41
371,Commercial,20475,79,28,13.9,Weekday,4354.25
372,Industrial,37708,91,23,29.54,Weekend,5607.7
373,Residential,46786,17,49,29.5,Weekday,4891.8
374,Industrial,29787,77,38,30.67,Weekday,5416.01
375,Residential,42286,50,35,11.13,Weekday,4808.64
376,Commercial,38404,21,30,24.39,Weekend,4608.27
377,Residential,36272,93,6,32.04,Weekday,4253.4
378,Commercial,36296,35,40,32.11,Weekday,4854.25
379,Commercial,27458,99,6,23.09,Weekend,4367.45
380,Residential,13484,42,23,25.92,Weekend,2924.6
381,Industrial,14129,50,29,18.54,Weekend,4193.77
382,Commercial,11206,72,24,14.25,Weekend,3689.04
383,Commercial,47266,14,39,14.13,Weekend,5212.64
384,Commercial,18278,7,44,32.44,Weekend,3701.68
385,Commercial,45641,41,21,15.87,Weekday,5082.68
386,Industrial,5471,24,34,28.34,Weekday,3601.86
387,Industrial,24942,35,38,20.76,Weekend,4753.3
388,Residential,8064,90,12,20.83,Weekday,2989.05
389,Residential,37480,45,20,20.29,Weekday,4172.54
390,Commercial,18797,94,25,20.37,Weekend,4278.0
391,Commercial,24589,48,7,33.17,Weekend,3683.59
392,Commercial,15782,39,18,16.16,Weekday,3508.32
393,Residential,46243,58,3,12.25,Weekend,4390.91
394,Residential,27806,28,21,25.4,Weekday,3513.31
395,Residential,22973,75,45,17.0,Weekend,4213.66
396,Industrial,7811,57,39,21.27,Weekday,4184.21
397,Commercial,9630,25,11,27.42,Weekday,2864.42
398,Residential,45465,3,25,10.42,Weekend,4251.16
399,Residential,21107,70,3,24.76,Weekday,3241.57
400,Commercial,36987,22,26,15.34,Weekday,4562.64
401,Industrial,22919,55,15,29.27,Weekend,4349.61
402,Residential,35384,21,30,18.62,Weekday,4036.12
403,Residential,32389,91,31,21.16,Weekend,4543.67
404,Residential,43582,92,4,18.9,Weekend,4584.62
405,Industrial,2122,68,36,31.82,Weekday,3897.02
406,Industrial,14169,52,5,18.39,Weekend,3736.5
407,Residential,22374,14,37,22.23,Weekday,3437.53
408,Residential,2490,91,8,25.03,Weekday,2619.36
409,Industrial,47554,72,8,25.75,Weekend,5628.95
410,Commercial,24374,89,31,33.73,Weekend,4560.05
411,Commercial,11331,47,43,21.1,Weekend,3791.04
412,Industrial,2060,69,41,12.68,Weekday,4099.62
413,Commercial,47537,34,17,16.6,Weekday,5023.85
414,Residential,29577,82,28,13.04,Weekday,4343.66
415,Commercial,39999,24,16,17.95,Weekday,4520.19
416,Commercial,22066,98,40,25.77,Weekday,4804.46
417,Industrial,22451,93,30,20.4,Weekday,5100.56
418,Industrial,35136,87,42,30.03,Weekday,5866.63
419,Residential,39065,75,24,10.17,Weekday,4682.41
420,Commercial,46393,19,43,15.6,Weekday,5341.65
421,Commercial,42449,48,20,14.3,Weekend,4930.94
422,Industrial,19046,46,29,28.51,Weekday,4399.73
423,Commercial,34219,92,49,27.39,Weekend,5473.98
424,Residential,48780,1,16,10.14,Weekend,4218.29
425,Residential,1026,90,49,11.14,Weekend,3375.62
426,Commercial,21952,22,34,25.98,Weekend,3867.72
427,Commercial,25451,60,9,28.7,Weekend,3909.07
428,Commercial,44379,15,28,15.33,Weekend,4852.28
429,Industrial,40863,47,1,17.61,Weekend,4945.09
430,Residential,21889,44,18,18.87,Weekday,3350.09
431,Commercial,49648,49,12,30.18,Weekend,5061.5
432,Commercial,26643,49,12,25.27,Weekday,3985.8
433,Residential,8473,9,22,12.1,Weekday,2443.16
434,Industrial,32588,75,10,13.13,Weekend,5013.75
435,Industrial,27089,69,25,29.33,Weekday,4947.78
436,Residential,34036,35,43,16.24,Weekend,4330.61
437,Industrial,17834,66,19,23.56,Weekday,4363.89
438,Residential,35060,39,45,26.93,Weekend,4408.36
439,Residential,3842,45,12,34.26,Weekday,2260.82
440,Residential,25078,95,9,24.24,Weekend,3762.71
441,Commercial,2425,70,8,34.79,Weekend,2807.29
442,Commercial,3930,1,28,30.59,Weekend,2613.53
443,Residential,31086,52,32,13.34,Weekday,4197.59
444,Residential,31610,15,36,14.78,Weekday,3926.61
445,Residential,45141,36,46,31.53,Weekend,4879.42
446,Industrial,16085,95,45,23.87,Weekend,5034.91
447,Commercial,43034,23,12,14.2,Weekend,4550.69
448,Residential,49189,51,22,24.03,Weekday,4839.29
449,Commercial,13850,45,26,20.98,Weekend,3557.61
450,Industrial,13095,76,41,29.41,Weekday,4637.71
451,Commercial,22020,43,4,28.28,Weekday,3519.59
452,Residential,14237,45,28,28.96,Weekday,3127.07
453,Commercial,7583,16,9,30.84,Weekend,2564.94
454,Industrial,12503,59,3,12.89,Weekend,3710.69
455,Residential,27924,85,7,17.39,Weekend,3799.24
456,Commercial,13151,58,19,26.56,Weekday,3534.74
457,Commercial,2250,11,4,22.11,Weekday,2241.96
458,Industrial,3217,11,8,23.83,Weekend,2811.68
459,Commercial,27227,89,23,15.01,Weekday,4686.28
460,Residential,30356,25,30,27.82,Weekend,3728.69
461,Commercial,21695,53,29,11.12,Weekday,4189.13
462,Residential,4256,44,9,21.22,Weekday,2276.7
463,Residential,25057,21,29,24.97,Weekend,3417.99
464,Commercial,625,9,18,19.56,Weekday,2433.47
465,Residential,28356,32,2,15.25,Weekend,3201.55
466,Residential,14788,38,9,22.75,Weekday,2735.63
467,Commercial,45686,12,46,22.81,Weekday,5260.26
468,Commercial,42252,19,33,11.34,Weekend,4905.91
469,Industrial,42824,90,34,27.26,Weekend,6084.9
470,Industrial,32075,8,38,18.84,Weekend,4849.54
471,Commercial,47819,81,5,24.47,Weekday,5228.59
472,Industrial,14260,74,8,27.33,Weekday,4026.33
473,Industrial,36944,57,18,29.65,Weekday,5178.97
474,Commercial,15729,36,17,20.37,Weekend,3384.58
475,Residential,12754,89,48,30.51,Weekday,3885.13
476,Residential,39610,91,40,27.6,Weekday,5102.49
477,Commercial,39059,57,47,28.74,Weekend,5319.27
478,Commercial,21081,20,42,25.28,Weekend,3967.63
479,Commercial,17274,97,46,15.79,Weekday,4724.76
480,Commercial,11289,25,8,26.63,Weekend,2841.31
481,Residential,35557,99,27,31.43,Weekend,4650.7
482,Commercial,35900,49,19,31.45,Weekend,4507.73
483,Industrial,2856,12,19,27.05,Weekday,3057.53
484,Residential,48023,42,46,17.82,Weekend,5152.04
485,Commercial,4732,52,39,28.23,Weekend,3395.45
486,Residential,34095,29,21,29.94,Weekend,3765.06
487,Residential,10725,28,22,28.11,Weekday,2665.72
488,Commercial,25057,86,32,30.61,Weekday,4649.81
489,Residential,5290,61,11,33.75,Weekday,2475.76
490,Industrial,2480,30,9,24.72,Weekday,3030.38
491,Industrial,19596,23,35,19.8,Weekend,4310.82
492,Commercial,2921,50,5,10.33,Weekday,2744.38
493,Residential,29125,57,7,16.94,Weekday,3631.54
494,Commercial,20076,33,42,34.22,Weekend,4002.72
495,Industrial,2836,46,46,13.74,Weekend,3953.1
496,Residential,10484,81,48,13.6,Weekday,3776.21
497,Commercial,24570,17,11,11.75,Weekday,3609.75
498,Residential,4633,98,2,15.1,Weekday,2726.13
499,Industrial,47304,98,11,12.3,Weekday,6053.68
500,Commercial,36562,99,11,30.78,Weekend,4884.18
501,Industrial,19350,38,13,28.33,Weekend,3965.87
